id,name,class,rarity,cost,type,keywords,icon,effects,textTemplate,upgrade,damageSchool,exposureBuildupPerHit,staminaCost,manaCost,flavor
"""riposte""","""Riposte""","""reaver""","""common""",1,"""attack""",[],"""⚔""","[{""op"":""damage"",""target"":""enemy"",""amount"":6},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":4,""if"":{""p"":""hasBlock"",""of"":""self""}}]","""Deal {damage} damage. If you have Block: deal {poiseDamage} Poise damage.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":8},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":6,""if"":{""p"":""hasBlock"",""of"":""self""}}]}","""physical""",0,,,
"""rend""","""Rend""","""reaver""","""common""",1,"""attack""",[],"""🩸""","[{""op"":""damage"",""target"":""enemy"",""amount"":5},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":2},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":2,""if"":{""p"":""inStance"",""stance"":""gorefire""}}]","""Deal {damage} damage. Apply {bleed} Bleed. Gorefire: apply {bleed.2} more.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":7},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":2},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":2,""if"":{""p"":""inStance"",""stance"":""gorefire""}}]}","""physical""",0,,,
"""cleavingBlow""","""Cleaving Blow""","""reaver""","""common""",2,"""attack""",[],"""🪓""","[{""op"":""damage"",""target"":""allEnemies"",""amount"":7},{""op"":""poiseDamage"",""target"":""allEnemies"",""amount"":3}]","""Deal {damage} damage to ALL enemies. Deal {poiseDamage} Poise damage to ALL.""","{""effects"":[{""op"":""damage"",""target"":""allEnemies"",""amount"":9},{""op"":""poiseDamage"",""target"":""allEnemies"",""amount"":4}]}","""physical""",0,,,
"""stomp""","""Stomp""","""reaver""","""uncommon""",2,"""attack""",[],"""🦶""","[{""op"":""damage"",""target"":""enemy"",""amount"":12},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":8}]","""Deal {damage} damage and {poiseDamage} Poise damage.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":16},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":10}]}","""physical""",0,,,
"""rallyingStandard""","""Rallying Standard""","""reaver""","""uncommon""",1,"""power""",[],"""⚑""","[{""op"":""applyStatus"",""target"":""self"",""status"":""rallyingStandard"",""stacks"":{""f"":""add"",""args"":[1]}}]","""At the start of your turn, gain 1 Strength and take 1 damage.""","{""effects"":[{""op"":""applyStatus"",""target"":""self"",""status"":""rallyingStandardUp"",""stacks"":{""f"":""add"",""args"":[1]}}],""textTemplate"":""At the start of your turn, gain 1 Strength.""}",,,,,
"""warSurgeon""","""War Surgeon""","""reaver""","""uncommon""",1,"""skill""","[""exhaust""]","""⚕""","[{""op"":""heal"",""target"":""self"",""amount"":{""f"":""mul"",""args"":[2,{""f"":""stacks"",""status"":""bleed"",""of"":""allEnemies"",""per"":4}]}}]","""Heal 2 HP for every 4 Bleed on all enemies. Exhaust.""","{""effects"":[{""op"":""heal"",""target"":""self"",""amount"":{""f"":""mul"",""args"":[2,{""f"":""stacks"",""status"":""bleed"",""of"":""allEnemies"",""per"":3}]}}],""textTemplate"":""Heal 2 HP for every 3 Bleed on all enemies. Exhaust.""}",,,,,
"""hemorrhage""","""Hemorrhage""","""reaver""","""uncommon""",1,"""skill""","[""exhaust""]","""🩸""","[{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":{""f"":""stacks"",""status"":""bleed"",""of"":""target""}}]","""Double the target's Bleed. Exhaust.""","{""keywords"":[],""textTemplate"":""Double the target's Bleed.""}",,,,,
"""twinbladeFlurry""","""Twinblade Flurry""","""reaver""","""uncommon""",1,"""attack""",[],"""⚔""","[{""op"":""damage"",""target"":""enemy"",""amount"":3,""hits"":3}]","""Deal {damage} damage {hits} times.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":4,""hits"":3}]}","""physical""",0,,,
"""shieldwall""","""Shieldwall""","""reaver""","""uncommon""",2,"""skill""",[],"""🧱""","[{""op"":""block"",""target"":""self"",""amount"":12},{""op"":""applyStatus"",""target"":""self"",""status"":""bulwarkEcho"",""stacks"":{""f"":""add"",""args"":[1]},""if"":{""p"":""inStance"",""stance"":""bulwark""}}]","""Gain {block} Block. If in Bulwark Stance: gain 4 Block next turn.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":16},{""op"":""applyStatus"",""target"":""self"",""status"":""bulwarkEcho"",""stacks"":{""f"":""add"",""args"":[1]},""if"":{""p"":""inStance"",""stance"":""bulwark""}}]}",,,,,
"""kickOff""","""Kick Off""","""reaver""","""uncommon""",0,"""attack""","[""exhaust""]","""🥾""","[{""op"":""damage"",""target"":""enemy"",""amount"":4},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":3}]","""Deal {damage} damage and {poiseDamage} Poise damage. Exhaust.""","{""keywords"":[],""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":7},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":3}],""textTemplate"":""Deal {damage} damage and {poiseDamage} Poise damage.""}","""physical""",0,,,
"""wardingLunge""","""Warding Lunge""","""reaver""","""uncommon""",1,"""skill""",[],"""🛡""","[{""op"":""block"",""target"":""self"",""amount"":8},{""op"":""enterStance"",""stance"":""gorefire""}]","""Gain {block} Block. Enter Gorefire Stance.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":11},{""op"":""enterStance"",""stance"":""gorefire""}]}",,,,,
"""impale""","""Impale""","""reaver""","""uncommon""",2,"""attack""",[],"""🗡""","[{""op"":""damage"",""target"":""enemy"",""amount"":9},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":6,""if"":{""p"":""hasStatus"",""of"":""target"",""status"":""staggered""}}]","""Deal {damage} damage. If the target is Staggered: apply {bleed} Bleed.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":12},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":8,""if"":{""p"":""hasStatus"",""of"":""target"",""status"":""staggered""}}]}","""physical""",0,,,
"""warcry""","""Warcry""","""reaver""","""uncommon""",0,"""skill""","[""exhaust""]","""📣""","[{""op"":""applyStatus"",""target"":""self"",""status"":""strength"",""stacks"":1},{""op"":""draw"",""amount"":1}]","""Gain {strength} Strength. Draw {draw} card. Exhaust.""","{""keywords"":[],""textTemplate"":""Gain {strength} Strength. Draw {draw} card.""}",,,,,
"""executioner""","""Executioner""","""reaver""","""rare""",2,"""attack""",[],"""⚰""","[{""op"":""damage"",""target"":""enemy"",""amount"":10,""if"":{""p"":""not"",""pred"":{""p"":""hasStatus"",""of"":""target"",""status"":""staggered""}}},{""op"":""damage"",""target"":""enemy"",""amount"":25,""if"":{""p"":""hasStatus"",""of"":""target"",""status"":""staggered""}}]","""Deal {damage} damage. If the target is Staggered: deal {damage.2} instead.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":14,""if"":{""p"":""not"",""pred"":{""p"":""hasStatus"",""of"":""target"",""status"":""staggered""}}},{""op"":""damage"",""target"":""enemy"",""amount"":32,""if"":{""p"":""hasStatus"",""of"":""target"",""status"":""staggered""}}]}","""physical""",0,,,
"""goreblood""","""Goreblood""","""reaver""","""rare""",3,"""power""",[],"""♛""","[{""op"":""applyStatus"",""target"":""self"",""status"":""goreblood"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Poise thresholds no longer increase after filling.""","{""cost"":2}",,,,,
"""unbreakable""","""Unbreakable""","""reaver""","""rare""",2,"""power""",[],"""⬟""","[{""op"":""applyStatus"",""target"":""self"",""status"":""unbreakable"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Block no longer expires at the start of your turn. (Block capped at 30.)""","{""effects"":[{""op"":""applyStatus"",""target"":""self"",""status"":""unbreakableUp"",""stacks"":{""f"":""add"",""args"":[1]}}],""textTemplate"":""Block no longer expires at the start of your turn. (Block capped at 40.)""}",,,,,
"""stitchedArms""","""Stitched Arms""","""reaver""","""rare""","""X""","""attack""",[],"""🦾""","[{""op"":""damage"",""target"":""randomEnemy"",""amount"":6,""hits"":{""f"":""energySpent""}}]","""Deal {damage} damage to a random enemy once per Energy spent.""","{""effects"":[{""op"":""damage"",""target"":""randomEnemy"",""amount"":8,""hits"":{""f"":""energySpent""}}]}","""physical""",0,,,
"""lastStand""","""Last Stand""","""reaver""","""rare""",1,"""skill""","[""ethereal""]","""🕯""","[{""op"":""block"",""target"":""self"",""amount"":{""f"":""missingHp"",""of"":""self"",""max"":20}}]","""Ethereal. Gain Block equal to your missing HP (max 20).""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":{""f"":""missingHp"",""of"":""self"",""max"":30}}],""textTemplate"":""Ethereal. Gain Block equal to your missing HP (max 30).""}",,,,,
"""warriorsVow""","""Warrior's Vow""","""reaver""","""rare""",0,"""skill""","[""innate"",""exhaust""]","""📜""","[{""op"":""enterStance"",""stance"":""gorefire""}]","""Innate. Enter Gorefire Stance. Exhaust.""","{""effects"":[{""op"":""enterStance"",""stance"":""gorefire""},{""op"":""draw"",""amount"":1}],""textTemplate"":""Innate. Enter Gorefire Stance. Draw {draw} card. Exhaust.""}",,,,,
"""ruinousBlow""","""Ruinous Blow""","""reaver""","""rare""",3,"""attack""",[],"""🔨""","[{""op"":""damage"",""target"":""enemy"",""amount"":20},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":12}]","""Deal {damage} damage and {poiseDamage} Poise damage.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":26},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":14}]}","""physical""",0,,,
"""bloodhuntersStrike""","""Bloodhunter's Strike""","""reaver""","""rare""",1,"""attack""",[],"""🩸""","[{""op"":""damage"",""target"":""enemy"",""amount"":4},{""op"":""damage"",""target"":""enemy"",""amount"":{""f"":""stacks"",""status"":""bleed"",""of"":""target""}}]","""Deal {damage} damage, plus 1 for each Bleed on the target.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":6},{""op"":""damage"",""target"":""enemy"",""amount"":{""f"":""stacks"",""status"":""bleed"",""of"":""target""}}]}","""physical""",0,,,
"""sanguinePactCard""","""Sanguine Pact""","""reaver""","""rare""",2,"""power""",[],"""🩸""","[{""op"":""applyStatus"",""target"":""self"",""status"":""sanguinePact"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Whenever Bleed bursts on an enemy, gain 2 Strength.""","{""cost"":1}",,,,,
"""goreslash""","""Goreslash""","""reaver""","""common""",1,"""attack""",[],"""🩸""","[{""op"":""damage"",""target"":""enemy"",""amount"":6},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":2}]","""Deal {damage} damage. Apply {bleed} Bleed.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":8},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":2}]}","""physical""",0,,,
"""bracingStance""","""Bracing Stance""","""reaver""","""common""",1,"""skill""",[],"""🛡""","[{""op"":""block"",""target"":""self"",""amount"":6},{""op"":""block"",""target"":""self"",""amount"":3,""if"":{""p"":""inStance"",""stance"":""bulwark""}}]","""Gain {block} Block. If in Bulwark Stance: gain {block.2} more.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":8},{""op"":""block"",""target"":""self"",""amount"":4,""if"":{""p"":""inStance"",""stance"":""bulwark""}}]}",,,,,
"""flameToBlade""","""Flame to Blade""","""reaver""","""uncommon""",2,"""attack""",[],"""🔥""","[{""op"":""damage"",""target"":""enemy"",""amount"":8},{""op"":""damage"",""target"":""enemy"",""amount"":6,""if"":{""p"":""inStance"",""stance"":""gorefire""}},{""op"":""enterStance"",""stance"":""gorefire""}]","""Deal {damage} damage. If already in Gorefire Stance: deal {damage.2} more. Enter Gorefire Stance.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":10},{""op"":""damage"",""target"":""enemy"",""amount"":8,""if"":{""p"":""inStance"",""stance"":""gorefire""}},{""op"":""enterStance"",""stance"":""gorefire""}]}","""physical""",0,,,
"""ironVowCard""","""Iron Vow""","""reaver""","""uncommon""",1,"""power""",[],"""⛓""","[{""op"":""applyStatus"",""target"":""self"",""status"":""ironVow"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Whenever you lose HP, gain 3 Block.""","{""cost"":0}",,,,,
"""bloodTithe""","""Blood Tithe""","""reaver""","""rare""",2,"""attack""",[],"""🗡""","[{""op"":""damage"",""target"":""enemy"",""amount"":6},{""op"":""damage"",""target"":""enemy"",""amount"":{""f"":""mul"",""args"":[2,{""f"":""stacks"",""status"":""bleed"",""of"":""target""}]}}]","""Deal {damage} damage, plus double the Bleed on the target.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":9},{""op"":""damage"",""target"":""enemy"",""amount"":{""f"":""mul"",""args"":[2,{""f"":""stacks"",""status"":""bleed"",""of"":""target""}]}}]}","""physical""",0,,,
"""poiseBreaker""","""Poise Breaker""","""reaver""","""rare""",2,"""attack""",[],"""🔨""","[{""op"":""damage"",""target"":""enemy"",""amount"":11},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":10},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":8,""if"":{""p"":""hasStatus"",""of"":""target"",""status"":""staggered""}}]","""Deal {damage} damage and {poiseDamage} Poise damage. If the target is Staggered: deal {poiseDamage.2} more Poise damage.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":14},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":12},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":10,""if"":{""p"":""hasStatus"",""of"":""target"",""status"":""staggered""}}]}","""physical""",0,,,
"""rondelParry""","""Rondel Parry""","""reaver""","""common""",1,"""skill""",[],"""🗡""","[{""op"":""block"",""target"":""self"",""amount"":5},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":5}]","""Gain {block} Block and deal {poiseDamage} Poise damage.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":7},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":7}]}",,,,,
"""sunderplate""","""Sunderplate""","""reaver""","""uncommon""",2,"""attack""",[],"""⚒""","[{""op"":""damage"",""target"":""enemy"",""amount"":9},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":10},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":3,""if"":{""p"":""hasStatus"",""of"":""target"",""status"":""staggered""}}]","""Deal {damage} damage and {poiseDamage} Poise damage. If the target is Staggered: apply {bleed} Bleed.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":12},{""op"":""poiseDamage"",""target"":""enemy"",""amount"":13},{""op"":""applyStatus"",""target"":""enemy"",""status"":""bleed"",""stacks"":4,""if"":{""p"":""hasStatus"",""of"":""target"",""status"":""staggered""}}]}","""physical""",0,,,
"""starstonePebble""","""Starstone Pebble""","""starseer""","""starter""",1,"""attack""",[],"""💎""","[{""op"":""damage"",""target"":""enemy"",""amount"":6},{""op"":""damage"",""target"":""enemy"",""amount"":3,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage. Starstone: deal {damage.2} more.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":8},{""op"":""damage"",""target"":""enemy"",""amount"":5,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,1,
"""cometFragment""","""Comet Fragment""","""starseer""","""common""",0,"""attack""",[],"""☄""","[{""op"":""damage"",""target"":""enemy"",""amount"":3},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":5},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""starbladePhalanx""","""Starblade Phalanx""","""starseer""","""common""",1,"""attack""",[],"""🗡""","[{""op"":""damage"",""target"":""enemy"",""amount"":4},{""op"":""damage"",""target"":""enemy"",""amount"":4,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage. Starstone: deal {damage.2} again.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":6},{""op"":""damage"",""target"":""enemy"",""amount"":6,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""crystalBarrier""","""Crystal Barrier""","""starseer""","""common""",1,"""skill""",[],"""🔷""","[{""op"":""block"",""target"":""self"",""amount"":5},{""op"":""block"",""target"":""self"",""amount"":4,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Gain {block} Block. Starstone: {block.2} more.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":7},{""op"":""block"",""target"":""self"",""amount"":5,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}",,,,,
"""starShower""","""Star Shower""","""starseer""","""common""",2,"""attack""",[],"""🌠""","[{""op"":""damage"",""target"":""enemy"",""amount"":3,""hits"":3},{""op"":""damage"",""target"":""enemy"",""amount"":3,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage {hits} times. Starstone: one more hit of {damage.2}.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":4,""hits"":3},{""op"":""damage"",""target"":""enemy"",""amount"":4,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""scholarsInsight""","""Scholar's Insight""","""starseer""","""common""",1,"""skill""",[],"""📖""","[{""op"":""draw"",""amount"":2},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Draw {draw} cards.""","{""effects"":[{""op"":""draw"",""amount"":3},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}",,,,,
"""frostVeil""","""Frost Veil""","""starseer""","""common""",1,"""skill""",[],"""🌫""","[{""op"":""block"",""target"":""self"",""amount"":4},{""op"":""applyStatus"",""target"":""enemy"",""status"":""frost"",""stacks"":3},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Gain {block} Block. Apply {frost} Frost.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":6},{""op"":""applyStatus"",""target"":""enemy"",""status"":""frost"",""stacks"":4},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}",,,,,
"""starSlicer""","""Star Slicer""","""starseer""","""common""",1,"""attack""",[],"""🌠""","[{""op"":""damage"",""target"":""enemy"",""amount"":4,""hits"":2},{""op"":""damage"",""target"":""enemy"",""amount"":4,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Deal {damage} damage {hits} times. Starstone: one more hit of {damage.2}.""","{""effects"":[{""op"":""damage"",""target"":""enemy"",""amount"":5,""hits"":2},{""op"":""damage"",""target"":""enemy"",""amount"":5,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}","""magic""",1,,,
"""starstoneWard""","""Starstone Ward""","""starseer""","""common""",1,"""skill""",[],"""🔰""","[{""op"":""block"",""target"":""self"",""amount"":4},{""op"":""applyStatus"",""target"":""enemy"",""status"":""weak"",""stacks"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]","""Gain {block} Block. Starstone: apply {weak} Weak.""","{""effects"":[{""op"":""block"",""target"":""self"",""amount"":6},{""op"":""applyStatus"",""target"":""enemy"",""status"":""weak"",""stacks"":1,""if"":{""p"":""hasStatus"",""of"":""self"",""status"":""starstoneCharge""}},{""op"":""applyStatus"",""target"":""self"",""status"":""starstoneCharge"",""stacks"":{""f"":""add"",""args"":[1]}}]}",,,,,
