# content/source/weapons.csv — armaments (Ashen Spire)
#
# Weapon TYPES are generic fantasy categories (greatsword, katana, buckler),
# which no one owns — only specific named weapons are anyone's IP. Each row is
# one armament: how it looks (geom + scale + palette), what it grants (tags),
# and how it rewrites your starting cards (mods).
#
# hand   right | left | either   (all shipped armaments are `either`; the slot
#        records where the player actually equipped one)
#
# tags   namespaced item-type tags plus free-form characteristics, pipe-separated.
#        Every row has at least one `item:*` tag. The UI derives its item-type
#        row from those tags; multiple item tags are valid and retain this order.
#        The remaining characteristics are read by gameplay or presentation:
#          heavy / flourish  the swap-cost category (balance.equipment,
#                            swapCostByCategory) — a greatsword is slow to draw
#                            because it IS heavy, not because a cost was typed
#          basic             everybody's: this piece is on the shelf without
#                            being found (balance.equipment.basicTag). One plain
#                            row per kind carries it, so every class can arm
#                            itself on a fresh profile. A `basic` row that also
#                            names an `unlock` is refused by name at validation.
# geom   the Blender archetype the renderer builds (tools/equipment-blender.py)
# mods   card rewrites, pipe-separated:  strike.damage=3|strike.hits=2|self.strength=+2
#        '=' replaces, '+/-' adjusts. Empty = no card change.
# Intrinsic catalog facts are not generated-card deltas. Smithing and attribute
# projection remain separate receipts layered over these authored values.
id,name,kind,hand,rarity,geom,scale,metal,accent,attackProfile,guardProfile,techniqueProfile,mods,unlock,blurb,dropWeight,artKey,poiseThreshold,attackRating,defenseRating,weight,weaponArtManaCost,uniqueSkillStaminaCost
kiteShield,Kite Shield,shield,either,common,kite,1.00,8E8678,C9A227,shieldAttack,shieldGuard,weaponTechnique,defend.block=+3|strike.damage=-1,,A wall you can carry. Your arm knows it.,10,,8,0,6,8,0,0
towerShield,Tower Shield,shield,either,rare,tower,1.00,7E766A,C9A227,shieldAttack,shieldGuard,weaponTechnique,defend.block=+6|strike.damage=-2|self.maxHp=+10,,You will not be moved. You will not move.,4,,12,0,9,12,0,0
roundShield,Round Shield,shield,either,common,round,1.00,8E8678,7FA8C9,shieldAttack,shieldGuard,weaponTechnique,defend.block=+2,,"Plain, round, and enough.",10,,7,0,5,7,0,0
spikedShield,Spiked Shield,shield,either,uncommon,spiked,1.00,8E8678,C9502E,shieldAttack,shieldGuard,weaponTechnique,defend.block=+2|strike.damage=+1,,Defence with an opinion.,7,,8,0,5,8,0,0
lantern,Lantern,shield,either,common,lantern,0.85,6B5D45,C9A227,shieldAttack,shieldGuard,weaponTechnique,defend.block=+1|self.regen=+1,,Light enough to see what is coming.,10,,2,0,4,2,0,0
torch,Torch,shield,either,common,torch,0.90,6B5D45,C9502E,shieldAttack,shieldGuard,weaponTechnique,strike.burn=+2,,Fire remembers what steel forgets.,10,,2,0,3,2,0,0
parryDagger,Parrying Dagger,shield,either,uncommon,dagger,0.85,C0B8A6,7FA8C9,shieldAttack,shieldGuard,weaponTechnique,defend.block=+1|strike.poise=+2,,Held wrong on purpose.,7,,3,0,4,3,0,0
ashStaff,Ash Staff,staff,either,common,staffOrb,1.00,6B5D45,C9A227,staffMagicAttack,staffGuard,staffTechnique,power.potency=+1,,"Grey wood, warm at the grip.",10,,3,2,1,3,1,0
starstoneStaff,Starstone Staff,staff,either,uncommon,staffCrystal,1.00,6B5D45,7FA8C9,staffMagicAttack,staffGuard,staffTechnique,power.potency=+2|strike.damage=-1|strike.frost=+2,,The stone hums before you do.,7,,3,1,1,3,1,0
boneSceptre,Bone Sceptre,staff,either,uncommon,staffSkull,1.00,B8AE98,B5541C,sceptreArcaneAttack,sceptreGuard,staffTechnique,power.potency=+1|strike.blight=+2,,Someone knelt for this once.,7,,4,3,1,4,1,0
emberlightSceptre,Emberlight Sceptre,staff,either,rare,staffFlame,1.00,6B5D45,C9A227,sceptreArcaneAttack,sceptreGuard,staffTechnique,power.potency=+3,,It keeps a little of the guiding flame.,4,,4,3,0,4,1,0
goldboughBranch,Goldbough Branch,staff,either,rare,staffBranch,1.00,6B5D45,C9A227,sceptreArcaneAttack,sceptreGuard,staffTechnique,power.potency=+2|self.regen=+1,,"Cut, and still growing.",4,,4,3,0,4,1,0
blightRod,Blight Rod,staff,either,uncommon,staffOrb,0.95,4B3522,B5541C,sceptreArcaneAttack,sceptreGuard,staffTechnique,strike.blight=+3|self.maxMana=+1,,Wet to the touch. It should not be.,7,,3,3,0,3,1,0
gorefireBrand,Gorefire Brand,staff,either,rare,staffFlame,0.95,4B3522,C9502E,sceptreArcaneAttack,sceptreGuard,staffTechnique,strike.burn=+2|strike.bleed=+1,,Blood takes to flame more readily than wood.,4,,3,3,0,3,1,0
wyrmhornStaff,Wyrmhorn Staff,staff,either,rare,staffHorn,1.00,B8AE98,C9A227,sceptreArcaneAttack,staffGuard,staffTechnique,power.potency=+2|strike.poise=+2|strike.insanity=+2,,Taken from something that objected.,4,,5,3,0,5,1,0
